religion,social_group,sector,gender,marital_status,day_of_week,principal_activity_status,activity_type,n_total_persons,n_participants,participation_rate,total_minutes,mean_minutes_per_participant,mean_minutes_per_person
Hinduism,scheduled tribe,Rural,male,never married,Friday,worked as helper in household enterprise (unpaid family worker),"Culture, leisure, mass-media and sports practices",57,54,.94736844,12240,226.6666666666667,214.73685
Hinduism,scheduled tribe,Rural,male,never married,Friday,worked as helper in household enterprise (unpaid family worker),Self-care and maintenance,57,57,1,43410,761.578947368421,761.57892
Hinduism,scheduled tribe,Rural,male,never married,Friday,worked as regular salaried/ wage employee,Employment and related activities,30,27,.89999998,15120,560,504
Hinduism,scheduled tribe,Rural,male,never married,Friday,worked as regular salaried/ wage employee,"Socializing and communication, community participation and religious practice",30,30,1,4320,144,144
Hinduism,scheduled tribe,Rural,male,never married,Friday,worked as regular salaried/ wage employee,"Culture, leisure, mass-media and sports practices",30,28,.93333334,5550,198.2142857142857,185
Hinduism,scheduled tribe,Rural,male,never married,Friday,worked as regular salaried/ wage employee,Self-care and maintenance,30,30,1,21330,711,711
Hinduism,scheduled tribe,Rural,male,never married,Friday,worked as casual wage labour: in public works,Employment and related activities,10,10,1,5190,519,519
Hinduism,scheduled tribe,Rural,male,never married,Friday,worked as casual wage labour: in public works,"Culture, leisure, mass-media and sports practices",10,10,1,1260,126,126
Hinduism,scheduled tribe,Rural,male,never married,Friday,worked as casual wage labour: in public works,Self-care and maintenance,10,10,1,7770,777,777
Hinduism,scheduled tribe,Rural,male,never married,Friday,worked as casual wage labour: in other types of work,Employment and related activities,104,95,.91346157,46950,494.2105263157895,451.44232
Hinduism,scheduled tribe,Rural,male,never married,Friday,worked as casual wage labour: in other types of work,Production of goods for own final use,104,11,.10576923,960,87.27272727272727,9.2307692
Hinduism,scheduled tribe,Rural,male,never married,Friday,worked as casual wage labour: in other types of work,Unpaid domestic services for household members,104,19,.1826923,1920,101.0526315789474,18.461538
Hinduism,scheduled tribe,Rural,male,never married,Friday,worked as casual wage labour: in other types of work,"Socializing and communication, community participation and religious practice",104,93,.89423078,15090,162.258064516129,145.09616
Hinduism,scheduled tribe,Rural,male,never married,Friday,worked as casual wage labour: in other types of work,"Culture, leisure, mass-media and sports practices",104,96,.92307693,18600,193.75,178.84616
Hinduism,scheduled tribe,Rural,male,never married,Friday,worked as casual wage labour: in other types of work,Self-care and maintenance,104,104,1,77700,747.1153846153846,747.11536
Hinduism,scheduled tribe,Rural,male,never married,Friday,did not work but was seeking and/or available for work,Unpaid domestic services for household members,32,10,.3125,1230,123,38.4375
Hinduism,scheduled tribe,Rural,male,never married,Friday,did not work but was seeking and/or available for work,Learning,32,10,.3125,2010,201,62.8125
Hinduism,scheduled tribe,Rural,male,never married,Friday,did not work but was seeking and/or available for work,"Socializing and communication, community participation and religious practice",32,32,1,7140,223.125,223.125
Hinduism,scheduled tribe,Rural,male,never married,Friday,did not work but was seeking and/or available for work,"Culture, leisure, mass-media and sports practices",32,31,.96875,11880,383.2258064516129,371.25
Hinduism,scheduled tribe,Rural,male,never married,Friday,did not work but was seeking and/or available for work,Self-care and maintenance,32,32,1,25890,809.0625,809.0625
Hinduism,scheduled tribe,Rural,male,never married,Friday,attended educational institution,Production of goods for own final use,518,38,.073359072,4500,118.4210526315789,8.6872587
Hinduism,scheduled tribe,Rural,male,never married,Friday,attended educational institution,Unpaid domestic services for household members,518,52,.1003861,4080,78.46153846153847,7.8764477
Hinduism,scheduled tribe,Rural,male,never married,Friday,attended educational institution,Unpaid caregiving services for household members,518,15,.028957529,1200,80,2.3166022
Hinduism,scheduled tribe,Rural,male,never married,Friday,attended educational institution,Learning,518,458,.88416988,204180,445.8078602620087,394.16989
Hinduism,scheduled tribe,Rural,male,never married,Friday,attended educational institution,"Socializing and communication, community participation and religious practice",518,401,.7741313,54060,134.8129675810474,104.36294
Hinduism,scheduled tribe,Rural,male,never married,Friday,attended educational institution,"Culture, leisure, mass-media and sports practices",518,509,.98262548,127830,251.139489194499,246.77606
Hinduism,scheduled tribe,Rural,male,never married,Friday,attended educational institution,Self-care and maintenance,518,518,1,409740,791.0038610038609,791.00385
Hinduism,scheduled tribe,Rural,male,never married,Friday,attended domestic duties only,"Socializing and communication, community participation and religious practice",12,11,.91666669,1950,177.2727272727273,162.5
Hinduism,scheduled tribe,Rural,male,never married,Friday,attended domestic duties only,"Culture, leisure, mass-media and sports practices",12,12,1,4830,402.5,402.5
Hinduism,scheduled tribe,Rural,male,never married,Friday,attended domestic duties only,Self-care and maintenance,12,12,1,9990,832.5,832.5
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked in household enterprise (self-employed): own account worker,Employment and related activities,48,42,.875,18690,445,389.375
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked in household enterprise (self-employed): own account worker,Production of goods for own final use,48,13,.27083334,2520,193.8461538461538,52.5
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked in household enterprise (self-employed): own account worker,Unpaid domestic services for household members,48,13,.27083334,1050,80.76923076923077,21.875
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked in household enterprise (self-employed): own account worker,"Socializing and communication, community participation and religious practice",48,46,.95833331,7620,165.6521739130435,158.75
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked in household enterprise (self-employed): own account worker,"Culture, leisure, mass-media and sports practices",48,45,.9375,8100,180,168.75
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked in household enterprise (self-employed): own account worker,Self-care and maintenance,48,48,1,36510,760.625,760.625
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked as helper in household enterprise (unpaid family worker),Employment and related activities,45,31,.68888891,12450,401.6129032258065,276.66666
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked as helper in household enterprise (unpaid family worker),Production of goods for own final use,45,15,.33333334,3030,202,67.333336
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked as helper in household enterprise (unpaid family worker),Unpaid domestic services for household members,45,17,.37777779,2220,130.5882352941177,49.333332
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked as helper in household enterprise (unpaid family worker),"Socializing and communication, community participation and religious practice",45,43,.95555556,10470,243.4883720930233,232.66667
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked as helper in household enterprise (unpaid family worker),"Culture, leisure, mass-media and sports practices",45,41,.91111112,10230,249.5121951219512,227.33333
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked as helper in household enterprise (unpaid family worker),Self-care and maintenance,45,45,1,34290,762,762
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked as regular salaried/ wage employee,Employment and related activities,40,38,.94999999,22050,580.2631578947369,551.25
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked as regular salaried/ wage employee,"Socializing and communication, community participation and religious practice",40,39,.97500002,5760,147.6923076923077,144
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked as regular salaried/ wage employee,"Culture, leisure, mass-media and sports practices",40,38,.94999999,6840,180,171
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked as regular salaried/ wage employee,Self-care and maintenance,40,40,1,27630,690.75,690.75
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked as casual wage labour: in public works,Employment and related activities,11,10,.90909094,4950,495,450
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked as casual wage labour: in public works,"Socializing and communication, community participation and religious practice",11,11,1,1740,158.1818181818182,158.18182
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked as casual wage labour: in public works,"Culture, leisure, mass-media and sports practices",11,10,.90909094,1680,168,152.72728
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked as casual wage labour: in public works,Self-care and maintenance,11,11,1,8340,758.1818181818181,758.18182
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked as casual wage labour: in other types of work,Employment and related activities,126,112,.8888889,54420,485.8928571428572,431.90475
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked as casual wage labour: in other types of work,Production of goods for own final use,126,15,.11904762,1590,106,12.619047
